pid,pname,X_gcj02,Y_gcj02,X_wgs84,Y_wgs84,X_bd09,Y_bd09,city,province,comment,rankInCity,rankInChin
36915,观音山萌宠动物园,118.198328,24.49748,118.1935,24.5003,118.2047,24.5039,厦门,福建省,1~10,441,36916
36916,美峰公园,118.141597,24.61209,118.1367,24.6148,118.1482,24.6178,厦门,福建省,1~10,442,36917
36917,东岳行宫,118.166219,24.724471,118.1613,24.7272,118.1727,24.7304,厦门,福建省,1~10,443,36918
36918,西河祠堂,118.118254,24.436735,118.1133,24.4393,118.1248,24.4425,厦门,福建省,1~10,444,36919
36919,保安殿,118.176505,24.511778,118.1717,24.5145,118.183,24.5179,厦门,福建省,1~10,445,36920
36920,上李山,118.129727,24.438936,118.1248,24.4416,118.1363,24.4446,厦门,福建省,1~10,446,36921
36921,和记洋行货栈遗址,118.069236,24.448441,118.0642,24.4511,118.0756,24.4547,厦门,福建省,1~10,447,36922
36922,半岭土地公庙,118.099557,24.454219,118.0946,24.4568,118.106,24.4603,厦门,福建省,1~10,448,36923
36923,扬帆公园,118.221052,24.553837,118.2164,24.5566,118.2276,24.5599,厦门,福建省,1~10,449,36924
36924,七彩池,117.985152,24.845922,117.9804,24.8488,117.9917,24.852,厦门,福建省,1~10,450,36925
36925,白交祠,117.943368,24.851809,117.9387,24.8548,117.9499,24.858,厦门,福建省,1~10,451,36926
36926,集美始祖墓,118.093133,24.566157,118.0881,24.5689,118.0995,24.5725,厦门,福建省,1~10,452,36927
36927,水源宫,118.159386,24.508302,118.1545,24.511,118.1659,24.5141,厦门,福建省,1~10,453,36928
36928,后溪镇油菜花,118.041501,24.629607,118.0366,24.6323,118.0481,24.6354,厦门,福建省,1~10,454,36929
36929,李小柒花茶店,118.12598,24.428293,118.1211,24.431,118.1326,24.4341,厦门,福建省,1~10,455,36930
36930,群贤楼群,118.095375,24.436711,118.0904,24.4393,118.1018,24.4429,厦门,福建省,1~10,456,36931
36931,海洋三所鲸豚展馆,118.094083,24.433933,118.0891,24.4365,118.1005,24.4401,厦门,福建省,1~10,457,36932
36932,烂尾楼,118.135928,24.422574,118.131,24.4253,118.1425,24.4283,厦门,福建省,1~10,458,36933
36933,禾伯鲜农创新农场,118.16598,24.844794,118.1611,24.8475,118.1725,24.8507,厦门,福建省,1~10,459,36934
36934,ROCKPARK摇滚公园,118.199605,24.487469,118.1948,24.4903,118.206,24.4939,厦门,福建省,1~10,460,36935
36935,老城微展馆,118.076648,24.456671,118.0716,24.4594,118.083,24.4631,厦门,福建省,1~10,461,36936
36936,饶美宫,118.052171,24.593497,118.0472,24.5962,118.0586,24.5995,厦门,福建省,1~10,462,36937
36937,甘露寺,118.09325,24.450171,118.0883,24.4528,118.0997,24.4564,厦门,福建省,1~10,463,36938
36938,强食公园,118.120468,24.473587,118.1155,24.4763,118.127,24.4795,厦门,福建省,1~10,464,36939
36939,顶上人家,118.083098,24.843236,118.0781,24.8459,118.0895,24.8496,厦门,福建省,1~10,465,36940
36940,林文庆别野,118.067488,24.445794,118.0625,24.4485,118.0739,24.4521,厦门,福建省,1~10,466,36941
36941,佛字岩,118.097563,24.442288,118.0926,24.4449,118.104,24.4485,厦门,福建省,1~10,467,36942
36942,厦门同安影视城-长廊,118.167465,24.745178,118.1626,24.7479,118.174,24.7511,厦门,福建省,1~10,468,36943
36943,鼓浪屿历史文化陈列馆,118.073101,24.445534,118.0681,24.4482,118.0795,24.4519,厦门,福建省,1~10,469,36944
36944,时代广场,118.07545,24.633538,118.0704,24.6362,118.0818,24.6399,厦门,福建省,1~10,470,36945
36945,瞰青别墅,118.06685,24.442725,118.0618,24.4454,118.0732,24.449,厦门,福建省,1~10,471,36946
36946,货币文化馆,118.07015,24.442523,118.0652,24.4452,118.0766,24.4488,厦门,福建省,1~10,472,36947
36947,铁炉宫,118.025608,24.635435,118.0207,24.6382,118.0322,24.6411,厦门,福建省,1~10,473,36948
36948,厦港龙珠殿,118.087521,24.438174,118.0825,24.4408,118.0939,24.4445,厦门,福建省,1~10,474,36949
36949,中华奇石馆,118.141776,24.646056,118.1369,24.6488,118.1484,24.6518,厦门,福建省,1~10,475,36950
36950,花卉园,118.10999,24.453199,118.105,24.4558,118.1164,24.4592,厦门,福建省,1~10,476,36951
37648,渡头村,120.137883,27.001967,120.1334,27.0052,120.1443,27.0083,宁德,福建省,1~10,98,37649
37649,楞伽宝塔,120.199227,27.121971,120.1949,27.1252,120.2058,27.1278,宁德,福建省,1~10,99,37650
37650,南山,119.517531,26.726091,119.5128,26.7295,119.5239,26.7324,宁德,福建省,1~10,100,37651
37651,福建省宁德市霞浦县玉潭村,119.982461,26.861717,119.9781,26.8651,119.9889,26.8679,宁德,福建省,1~10,101,37652
37652,福鼎白茶博物馆,120.240829,27.290514,120.2365,27.2937,120.2472,27.2968,宁德,福建省,1~10,102,37653
37653,新佳坡步行街,119.52286,26.66485,119.5182,26.6682,119.5293,26.6711,宁德,福建省,1~10,103,37654
37654,环白水洋步游道,119.073663,27.092458,119.0687,27.0956,119.0802,27.0984,宁德,福建省,1~10,104,37655
37655,福安图书馆,119.64444,27.08021,119.6399,27.0836,119.6508,27.0865,宁德,福建省,1~10,105,37656
37656,霞浦南洋街,120.0095,26.879117,120.0051,26.8824,120.016,26.8854,宁德,福建省,1~10,106,37657
37657,短表岛,120.129083,26.830044,120.1246,26.8332,120.1355,26.8363,宁德,福建省,1~10,107,37658
37658,兰溪涧,120.193536,27.117535,120.1892,27.1207,120.2001,27.1232,宁德,福建省,1~10,108,37659
37659,芙蓉宝殿,119.528138,27.05446,119.5234,27.0579,119.5345,27.0609,宁德,福建省,1~10,109,37660
37660,圣仁宫,119.998886,26.891311,119.9945,26.8946,120.0053,26.8976,宁德,福建省,1~10,110,37661
37661,福鼎青莲古寺,120.264867,27.343097,120.2607,27.3463,120.2714,27.3492,宁德,福建省,1~10,111,37662
37662,三沙留云寺,120.196445,26.919377,120.1921,26.9227,120.203,26.9252,宁德,福建省,1~10,112,37663
37663,白溪草场,119.23239,26.710139,119.2276,26.7135,119.239,26.7159,宁德,福建省,1~10,113,37664
37664,高罗沙滩国家特殊保护林带,120.096906,26.751858,120.0924,26.7551,120.1034,26.7581,宁德,福建省,1~10,114,37665
37665,古戏台,118.92196,26.5856,118.9174,26.5891,118.9284,26.5919,宁德,福建省,1~10,115,37666
37666,福建省周宁仙凤山省级森林公园,119.254371,27.140983,119.2496,27.1443,119.2609,27.1471,宁德,福建省,1~10,116,37667
37667,林氏家庙,119.208672,26.665291,119.2039,26.6686,119.2153,26.671,宁德,福建省,1~10,117,37668
37668,霞浦牛屿滩涂体验景区,120.049531,26.791687,120.045,26.7949,120.0561,26.7974,宁德,福建省,1~10,118,37669
37669,周宁仙凤山省级森林公园,119.254365,27.140962,119.2496,27.1443,119.2609,27.1471,宁德,福建省,1~10,119,37670
37670,宁德九龙祭瀑布群,119.381046,27.06672,119.376,27.0698,119.3875,27.0729,宁德,福建省,1~10,120,37671
37671,福建省宁德市周宁县步行街,119.336192,27.103588,119.3312,27.1068,119.3427,27.1093,宁德,福建省,1~10,121,37672
37672,福安葡萄沟,119.542819,27.060246,119.5382,27.0636,119.5493,27.0663,宁德,福建省,1~10,122,37673
39313,泉州安溪桫椤园,118.051379,24.882523,118.0464,24.8852,118.0579,24.8885,泉州,福建省,1~10,246,39314
39314,文庙广场,118.589416,24.904184,118.585,24.9072,118.5959,24.9102,泉州,福建省,1~10,247,39315
39315,南安山美基督教堂,118.485458,24.927518,118.4808,24.9303,118.4921,24.9333,泉州,福建省,1~10,248,39316
39316,泉州黎明高中遗址,118.592303,24.914805,118.5879,24.9178,118.5988,24.9208,泉州,福建省,1~10,249,39317
39317,临樟门,118.574034,24.913793,118.5695,24.9168,118.5804,24.9201,泉州,福建省,1~10,250,39318
39318,青龙古地,118.590388,24.893478,118.586,24.8965,118.597,24.8995,泉州,福建省,1~10,251,39319
39319,王氏宗祠,118.619407,24.745252,118.615,24.7483,118.626,24.7509,泉州,福建省,1~10,252,39320
39320,泉州觅鲤幻光之恋,118.591226,24.909181,118.5868,24.9122,118.5977,24.9152,泉州,福建省,1~10,253,39321
39321,武荣慈济宫,118.542461,24.950986,118.538,24.9539,118.549,24.9572,泉州,福建省,1~10,254,39322
39322,基督教洪濑主恩堂,118.51745,25.084616,118.5128,25.0874,118.524,25.0904,泉州,福建省,1~10,255,39323
39323,刺桐里,118.579141,24.913757,118.5746,24.9168,118.5855,24.92,泉州,福建省,1~10,256,39324
39324,草庵石刻,118.53821,24.76462,118.5337,24.7675,118.5447,24.7707,泉州,福建省,1~10,257,39325
39325,塘园宋代石塔,118.615854,24.727871,118.6115,24.7309,118.6225,24.7335,泉州,福建省,1~10,258,39326
39326,三清宝殿,118.603223,24.950869,118.5988,24.9539,118.6098,24.9567,泉州,福建省,1~10,259,39327
39327,泉州龙潭溪旅游风景区,118.610024,25.284685,118.6055,25.2877,118.6165,25.2904,泉州,福建省,1~10,260,39328
39328,永春船山岩玻璃栈道,117.863692,25.397611,117.8589,25.4006,117.8701,25.4038,泉州,福建省,1~10,261,39329
39329,晋江梧林传统村落景区,118.598052,24.75316,118.5937,24.7562,118.6047,24.759,泉州,福建省,1~10,262,39330
39330,世茂海上丝绸之路博物馆,118.622461,24.716708,118.6181,24.7197,118.6291,24.7223,泉州,福建省,1~10,263,39331
39331,兜率天宫,118.279208,24.983435,118.2745,24.9862,118.2858,24.9892,泉州,福建省,1~10,264,39332
39332,三源禅寺,118.678692,24.713024,118.6742,24.7159,118.6852,24.7193,泉州,福建省,1~10,265,39333
39333,俞大维先生纪念馆,118.436327,24.440379,118.4315,24.4431,118.4427,24.4468,泉州,福建省,1~10,266,39334
39334,笔架山,118.74833,25.125489,118.7436,25.1283,118.7548,25.1312,泉州,福建省,1~10,267,39335
